"COMMON_NAME","SCIENTIFIC_NAME","CATEGORY","order","family","scientific name"
"Golden Eagle","Aquila chrysaetos","species","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Aquila chrysaetos"
"Purple Sandpiper","Calidris maritima","species","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Calidris maritima"
"Hooded Oriole","Icterus cucullatus","species","Passeriformes","Icteridae (Troupials and Allies)","Icterus cucullatus"
"McCown's Longspur","Rhynchophanes mccownii","species","Passeriformes","Calcariidae (Longspurs and Snow Buntings)","Rhynchophanes mccownii"
"Yellow-bellied Flycatcher","Empidonax flaviventris","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Empidonax flaviventris"
"Common Poorwill","Phalaenoptilus nuttallii","species","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Phalaenoptilus nuttallii"
"Chestnut-collared Longspur","Calcarius ornatus","species","Passeriformes","Calcariidae (Longspurs and Snow Buntings)","Calcarius ornatus"
"Yellow-chevroned Parakeet","Brotogeris chiriri","species","Psittaciformes","Psittacidae (New World and African Parrots)","Brotogeris chiriri"
"Sprague's Pipit","Anthus spragueii","species","Passeriformes","Motacillidae (Wagtails and Pipits)","Anthus spragueii"
"Lucy's Warbler","Oreothlypis luciae","species","Passeriformes","Parulidae (New World Warblers)","Oreothlypis luciae"
"Glaucous Gull","Larus hyperboreus","species","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Larus hyperboreus"
"Gilded Flicker","Colaptes chrysoides","species","Piciformes","Picidae (Woodpeckers)","Colaptes chrysoides"
"Bronzed Cowbird","Molothrus aeneus","species","Passeriformes","Icteridae (Troupials and Allies)","Molothrus aeneus"
"King Eider","Somateria spectabilis","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Somateria spectabilis"
"Fulvous Whistling-Duck","Dendrocygna bicolor","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Dendrocygna bicolor"
"Dovekie","Alle alle","species","Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Alle alle"
"Common Redpoll","Acanthis flammea","species","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Acanthis flammea"
"Northern Beardless-Tyrannulet","Camptostoma imberbe","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Camptostoma imberbe"
"Eurasian Tree Sparrow","Passer montanus","species","Passeriformes","Passeridae (Old World Sparrows)","Passer montanus"
"Masked Duck","Nomonyx dominicus","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Nomonyx dominicus"
"Hermit Warbler","Setophaga occidentalis","species","Passeriformes","Parulidae (New World Warblers)","Setophaga occidentalis"
"Northern Jacana","Jacana spinosa","species","Charadriiformes","Jacanidae (Jacanas)","Jacana spinosa"
"Northern Wheatear","Oenanthe oenanthe","species","Passeriformes","Muscicapidae (Old World Flycatchers)","Oenanthe oenanthe"
"Snail Kite","Rostrhamus sociabilis","species","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Rostrhamus sociabilis"
"Graylag Goose (Domestic type)","Anser anser (Domestic type)","domestic",NA,NA,NA
"Altamira Oriole","Icterus gularis","species","Passeriformes","Icteridae (Troupials and Allies)","Icterus gularis"
"Ruddy Ground-Dove","Columbina talpacoti","species","Columbiformes","Columbidae (Pigeons and Doves)","Columbina talpacoti"
"Green Parakeet","Psittacara holochlorus","species","Psittaciformes","Psittacidae (New World and African Parrots)","Psittacara holochlorus"
"Gray Partridge","Perdix perdix","species","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Perdix perdix"
"Black-billed Cuckoo","Coccyzus erythropthalmus","species","Cuculiformes","Cuculidae (Cuckoos)","Coccyzus erythropthalmus"
"Black-backed Woodpecker","Picoides arcticus","species","Piciformes","Picidae (Woodpeckers)","Picoides arcticus"
"Streak-backed Oriole","Icterus pustulatus","species","Passeriformes","Icteridae (Troupials and Allies)","Icterus pustulatus"
"Yellow-footed Gull","Larus livens","species","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Larus livens"
"Crimson-collared Grosbeak","Rhodothraupis celaeno","species","Passeriformes","Cardinalidae (Cardinals and Allies)","Rhodothraupis celaeno"
"Aplomado Falcon","Falco femoralis","species","Falconiformes","Falconidae (Falcons and Caracaras)","Falco femoralis"
"Red-whiskered Bulbul","Pycnonotus jocosus","species","Passeriformes","Pycnonotidae (Bulbuls)","Pycnonotus jocosus"
"Yellow-eyed Junco","Junco phaeonotus","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Junco phaeonotus"
"Bohemian Waxwing","Bombycilla garrulus","species","Passeriformes","Bombycillidae (Waxwings)","Bombycilla garrulus"
"Olive Warbler","Peucedramus taeniatus","species","Passeriformes","Peucedramidae (Olive Warbler)","Peucedramus taeniatus"
"Grace's Warbler","Setophaga graciae","species","Passeriformes","Parulidae (New World Warblers)","Setophaga graciae"
"Common Myna","Acridotheres tristis","species","Passeriformes","Sturnidae (Starlings)","Acridotheres tristis"
"Indian Peafowl","Pavo cristatus","species","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Pavo cristatus"
"Ivory Gull","Pagophila eburnea","species","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Pagophila eburnea"
"Swainson's Warbler","Limnothlypis swainsonii","species","Passeriformes","Parulidae (New World Warblers)","Limnothlypis swainsonii"
"Thick-billed Kingbird","Tyrannus crassirostris","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tyrannus crassirostris"
"Golden-cheeked Warbler","Setophaga chrysoparia","species","Passeriformes","Parulidae (New World Warblers)","Setophaga chrysoparia"
"Gray-headed Swamphen","Porphyrio poliocephalus","species","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Porphyrio poliocephalus"
"Mountain Plover","Charadrius montanus","species","Charadriiformes","Charadriidae (Plovers and Lapwings)","Charadrius montanus"
"Juniper Titmouse","Baeolophus ridgwayi","species","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Baeolophus ridgwayi"
"Bell's Sparrow","Artemisiospiza belli","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Artemisiospiza belli"
"Blue Bunting","Cyanocompsa parellina","species","Passeriformes","Cardinalidae (Cardinals and Allies)","Cyanocompsa parellina"
"Gray-cheeked Thrush","Catharus minimus","species","Passeriformes","Turdidae (Thrushes and Allies)","Catharus minimus"
"Masked Booby","Sula dactylatra","species","Suliformes","Sulidae (Boobies and Gannets)","Sula dactylatra"
"Elegant Trogon","Trogon elegans","species","Trogoniformes","Trogonidae (Trogons)","Trogon elegans"
"Buff-breasted Flycatcher","Empidonax fulvifrons","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Empidonax fulvifrons"
"Virginia's Warbler","Oreothlypis virginiae","species","Passeriformes","Parulidae (New World Warblers)","Oreothlypis virginiae"
"Yellow Rail","Coturnicops noveboracensis","species","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Coturnicops noveboracensis"
"Pomarine Jaeger","Stercorarius pomarinus","species","Charadriiformes","Stercorariidae (Skuas and Jaegers)","Stercorarius pomarinus"
"LeConte's Thrasher","Toxostoma lecontei","species","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Toxostoma lecontei"
"Dusky Grouse","Dendragapus obscurus","species","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Dendragapus obscurus"
"Roadside Hawk","Rupornis magnirostris","species","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Rupornis magnirostris"
"Black-whiskered Vireo","Vireo altiloquus","species","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireo altiloquus"
"Tufted Duck","Aythya fuligula","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Aythya fuligula"
"Black-headed Gull","Chroicocephalus ridibundus","species","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Chroicocephalus ridibundus"
"Wandering Tattler","Tringa incana","species","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Tringa incana"
"Yellow-headed Parrot","Amazona oratrix","species","Psittaciformes","Psittacidae (New World and African Parrots)","Amazona oratrix"
"Hoary Redpoll","Acanthis hornemanni","species","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Acanthis hornemanni"
"Botteri's Sparrow","Peucaea botterii","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Peucaea botterii"
"Black-chinned Sparrow","Spizella atrogularis","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Spizella atrogularis"
"Amazon Kingfisher","Chloroceryle amazona","species","Coraciiformes","Alcedinidae (Kingfishers)","Chloroceryle amazona"
"Mandarin Duck","Aix galericulata","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Aix galericulata"
"White-collared Seedeater","Sporophila torqueola","species","Passeriformes","Thraupidae (Tanagers and Allies)","Sporophila torqueola"
"Black-vented Shearwater","Puffinus opisthomelas","species","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Puffinus opisthomelas"
"Scripps's Murrelet","Synthliboramphus scrippsi","species","Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Synthliboramphus scrippsi"
"Cassin's Auklet","Ptychoramphus aleuticus","species","Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Ptychoramphus aleuticus"
"Dusky-capped Flycatcher","Myiarchus tuberculifer","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Myiarchus tuberculifer"
"Red-masked Parakeet","Psittacara erythrogenys","species","Psittaciformes","Psittacidae (New World and African Parrots)","Psittacara erythrogenys"
"Black Rail","Laterallus jamaicensis","species","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Laterallus jamaicensis"
"Rock Sandpiper","Calidris ptilocnemis","species","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Calidris ptilocnemis"
"European Goldfinch","Carduelis carduelis","species","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Carduelis carduelis"
"Zone-tailed Hawk","Buteo albonotatus","species","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Buteo albonotatus"
"Black-capped Vireo","Vireo atricapilla","species","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireo atricapilla"
"California Condor","Gymnogyps californianus","species","Cathartiformes","Cathartidae (New World Vultures)","Gymnogyps californianus"
"Brown-capped Rosy-Finch","Leucosticte australis","species","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Leucosticte australis"
"Gray-crowned Rosy-Finch","Leucosticte tephrocotis","species","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Leucosticte tephrocotis"
"Pacific Golden-Plover","Pluvialis fulva","species","Charadriiformes","Charadriidae (Plovers and Lapwings)","Pluvialis fulva"
"Tropical Parula","Setophaga pitiayumi","species","Passeriformes","Parulidae (New World Warblers)","Setophaga pitiayumi"
"Rhinoceros Auklet","Cerorhinca monocerata","species","Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Cerorhinca monocerata"
"Rufous-backed Robin","Turdus rufopalliatus","issf","Passeriformes","Turdidae (Thrushes and Allies)","Turdus rufopalliatus"
"Yellow-billed Loon","Gavia adamsii","species","Gaviiformes","Gaviidae (Loons)","Gavia adamsii"
"Red-faced Warbler","Cardellina rubrifrons","species","Passeriformes","Parulidae (New World Warblers)","Cardellina rubrifrons"
"Groove-billed Ani","Crotophaga sulcirostris","species","Cuculiformes","Cuculidae (Cuckoos)","Crotophaga sulcirostris"
"Black Rosy-Finch","Leucosticte atrata","species","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Leucosticte atrata"
"Orange-winged Parrot","Amazona amazonica","species","Psittaciformes","Psittacidae (New World and African Parrots)","Amazona amazonica"
"Bare-throated Tiger-Heron","Tigrisoma mexicanum","species","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Tigrisoma mexicanum"
"Greater Sage-Grouse","Centrocercus urophasianus","species","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Centrocercus urophasianus"
"Black-capped Gnatcatcher","Polioptila nigriceps","species","Passeriformes","Polioptilidae (Gnatcatchers)","Polioptila nigriceps"
"Short-tailed Shearwater","Ardenna tenuirostris","species","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Ardenna tenuirostris"
"Gray Vireo","Vireo vicinior","species","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireo vicinior"
"Red-billed Pigeon","Patagioenas flavirostris","species","Columbiformes","Columbidae (Pigeons and Doves)","Patagioenas flavirostris"
"Shiny Cowbird","Molothrus bonariensis","species","Passeriformes","Icteridae (Troupials and Allies)","Molothrus bonariensis"
"Northern Fulmar","Fulmarus glacialis","species","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Fulmarus glacialis"
"Manx Shearwater","Puffinus puffinus","species","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Puffinus puffinus"
"Rosy-faced Lovebird","Agapornis roseicollis","species","Psittaciformes","Psittaculidae (Old World Parrots)","Agapornis roseicollis"
"Blue-crowned Parakeet","Thectocercus acuticaudatus","species","Psittaciformes","Psittacidae (New World and African Parrots)","Thectocercus acuticaudatus"
"Chukar","Alectoris chukar","species","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Alectoris chukar"
"Tufted Puffin","Fratercula cirrhata","species","Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Fratercula cirrhata"
"Common Black Hawk","Buteogallus anthracinus","issf","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Buteogallus anthracinus"
"Red-lored Parrot","Amazona autumnalis","species","Psittaciformes","Psittacidae (New World and African Parrots)","Amazona autumnalis"
"La Sagra's Flycatcher","Myiarchus sagrae","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Myiarchus sagrae"
"Varied Bunting","Passerina versicolor","species","Passeriformes","Cardinalidae (Cardinals and Allies)","Passerina versicolor"
"Connecticut Warbler","Oporornis agilis","species","Passeriformes","Parulidae (New World Warblers)","Oporornis agilis"
"Lucifer Hummingbird","Calothorax lucifer","species","Caprimulgiformes","Trochilidae (Hummingbirds)","Calothorax lucifer"
"Mitred Parakeet","Psittacara mitratus","species","Psittaciformes","Psittacidae (New World and African Parrots)","Psittacara mitratus"
"Black Swan","Cygnus atratus","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Cygnus atratus"
"American Three-toed Woodpecker","Picoides dorsalis","species","Piciformes","Picidae (Woodpeckers)","Picoides dorsalis"
"Thick-billed Murre","Uria lomvia","species","Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Uria lomvia"
"Rose-ringed Parakeet","Psittacula krameri","species","Psittaciformes","Psittaculidae (Old World Parrots)","Psittacula krameri"
"Lilac-crowned Parrot","Amazona finschi","species","Psittaciformes","Psittacidae (New World and African Parrots)","Amazona finschi"
"Flammulated Owl","Psiloscops flammeolus","species","Strigiformes","Strigidae (Owls)","Psiloscops flammeolus"
"Chestnut-fronted Macaw","Ara severus","species","Psittaciformes","Psittacidae (New World and African Parrots)","Ara severus"
"Red-footed Booby","Sula sula","species","Suliformes","Sulidae (Boobies and Gannets)","Sula sula"
"Pink-footed Shearwater","Ardenna creatopus","species","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Ardenna creatopus"
"Brown Booby","Sula leucogaster","species","Suliformes","Sulidae (Boobies and Gannets)","Sula leucogaster"
"Antillean Nighthawk","Chordeiles gundlachii","species","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Chordeiles gundlachii"
"Spotted Dove","Streptopelia chinensis","species","Columbiformes","Columbidae (Pigeons and Doves)","Streptopelia chinensis"
"Spot-breasted Oriole","Icterus pectoralis","species","Passeriformes","Icteridae (Troupials and Allies)","Icterus pectoralis"
"Indian Peafowl (Domestic type)","Pavo cristatus (Domestic type)","domestic",NA,NA,NA
"Montezuma Quail","Cyrtonyx montezumae","species","Galliformes","Odontophoridae (New World Quail)","Cyrtonyx montezumae"
"Gray Kingbird","Tyrannus dominicensis","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tyrannus dominicensis"
"Bridled Tern","Onychoprion anaethetus","species","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Onychoprion anaethetus"
"Sabine's Gull","Xema sabini","species","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Xema sabini"
"Spruce Grouse","Falcipennis canadensis","species","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Falcipennis canadensis"
"Ferruginous Pygmy-Owl","Glaucidium brasilianum","species","Strigiformes","Strigidae (Owls)","Glaucidium brasilianum"
"Black-footed Albatross","Phoebastria nigripes","species","Procellariiformes","Diomedeidae (Albatrosses)","Phoebastria nigripes"
"Wilson's Storm-Petrel","Oceanites oceanicus","species","Procellariiformes","Hydrobatidae (Storm-Petrels)","Oceanites oceanicus"
"White-crowned Pigeon","Patagioenas leucocephala","species","Columbiformes","Columbidae (Pigeons and Doves)","Patagioenas leucocephala"
"Mexican Whip-poor-will","Antrostomus arizonae","species","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Antrostomus arizonae"
"Common Hill Myna","Gracula religiosa","species","Passeriformes","Sturnidae (Starlings)","Gracula religiosa"
"Greater Pewee","Contopus pertinax","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Contopus pertinax"
"Curlew Sandpiper","Calidris ferruginea","species","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Calidris ferruginea"
"Pink-footed Goose","Anser brachyrhynchus","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Anser brachyrhynchus"
"Sooty Grouse","Dendragapus fuliginosus","species","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Dendragapus fuliginosus"
"Cook's Petrel","Pterodroma cookii","species","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Pterodroma cookii"
"Ashy Storm-Petrel","Oceanodroma homochroa","species","Procellariiformes","Hydrobatidae (Storm-Petrels)","Oceanodroma homochroa"
"Laysan Albatross","Phoebastria immutabilis","species","Procellariiformes","Diomedeidae (Albatrosses)","Phoebastria immutabilis"
"Flesh-footed Shearwater","Ardenna carneipes","species","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Ardenna carneipes"
"Leach's Storm-Petrel","Oceanodroma leucorhoa","issf","Procellariiformes","Hydrobatidae (Storm-Petrels)","Oceanodroma leucorhoa"
"Rufous-capped Warbler","Basileuterus rufifrons","issf","Passeriformes","Parulidae (New World Warblers)","Basileuterus rufifrons"
"Ancient Murrelet","Synthliboramphus antiquus","species","Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Synthliboramphus antiquus"
"Murphy's Petrel","Pterodroma ultima","species","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Pterodroma ultima"
"Long-tailed Jaeger","Stercorarius longicaudus","species","Charadriiformes","Stercorariidae (Skuas and Jaegers)","Stercorarius longicaudus"
"Berylline Hummingbird","Amazilia beryllina","species","Caprimulgiformes","Trochilidae (Hummingbirds)","Amazilia beryllina"
"Parakeet Auklet","Aethia psittacula","species","Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Aethia psittacula"
"Sulphur-bellied Flycatcher","Myiodynastes luteiventris","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Myiodynastes luteiventris"
"Hook-billed Kite","Chondrohierax uncinatus","species","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Chondrohierax uncinatus"
"White-tailed Ptarmigan","Lagopus leucura","species","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Lagopus leucura"
"Cory's Shearwater","Calonectris diomedea","species","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Calonectris diomedea"
"Smooth-billed Ani","Crotophaga ani","species","Cuculiformes","Cuculidae (Cuckoos)","Crotophaga ani"
"Whiskered Screech-Owl","Megascops trichopsis","species","Strigiformes","Strigidae (Owls)","Megascops trichopsis"
"Elf Owl","Micrathene whitneyi","species","Strigiformes","Strigidae (Owls)","Micrathene whitneyi"
"Orange-billed Nightingale-Thrush","Catharus aurantiirostris","species","Passeriformes","Turdidae (Thrushes and Allies)","Catharus aurantiirostris"
"Brown Jay","Psilorhinus morio","species","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Psilorhinus morio"
"Black Storm-Petrel","Oceanodroma melania","species","Procellariiformes","Hydrobatidae (Storm-Petrels)","Oceanodroma melania"
"Fork-tailed Storm-Petrel","Oceanodroma furcata","species","Procellariiformes","Hydrobatidae (Storm-Petrels)","Oceanodroma furcata"
"Flame-colored Tanager","Piranga bidentata","species","Passeriformes","Cardinalidae (Cardinals and Allies)","Piranga bidentata"
"Band-rumped Storm-Petrel","Oceanodroma castro","species","Procellariiformes","Hydrobatidae (Storm-Petrels)","Oceanodroma castro"
"Black-capped Petrel","Pterodroma hasitata","species","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Pterodroma hasitata"
"Black Swift","Cypseloides niger","species","Caprimulgiformes","Apodidae (Swifts)","Cypseloides niger"
"Trindade Petrel","Pterodroma arminjoniana","species","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Pterodroma arminjoniana"
"Audubon's Shearwater","Puffinus lherminieri","species","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Puffinus lherminieri"
"Cassia Crossbill","Loxia sinesciuris","species","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Loxia sinesciuris"
"Aztec Thrush","Ridgwayia pinicola","species","Passeriformes","Turdidae (Thrushes and Allies)","Ridgwayia pinicola"
"Buller's Shearwater","Ardenna bulleri","species","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Ardenna bulleri"
"Five-striped Sparrow","Amphispiza quinquestriata","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Amphispiza quinquestriata"
"Common Chaffinch","Fringilla coelebs","species","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Fringilla coelebs"
"Mexican Chickadee","Poecile sclateri","species","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Poecile sclateri"
"South Polar Skua","Stercorarius maccormicki","species","Charadriiformes","Stercorariidae (Skuas and Jaegers)","Stercorarius maccormicki"
"Boreal Owl","Aegolius funereus","species","Strigiformes","Strigidae (Owls)","Aegolius funereus"
"Mangrove Cuckoo","Coccyzus minor","species","Cuculiformes","Cuculidae (Cuckoos)","Coccyzus minor"
"Least Storm-Petrel","Oceanodroma microsoma","species","Procellariiformes","Hydrobatidae (Storm-Petrels)","Oceanodroma microsoma"
"Fork-tailed Flycatcher","Tyrannus savana","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tyrannus savana"
"Bicknell's Thrush","Catharus bicknelli","species","Passeriformes","Turdidae (Thrushes and Allies)","Catharus bicknelli"
"Guadalupe Murrelet","Synthliboramphus hypoleucus","species","Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Synthliboramphus hypoleucus"
"Lesser Sand-Plover","Charadrius mongolus","species","Charadriiformes","Charadriidae (Plovers and Lapwings)","Charadrius mongolus"
"Bar-tailed Godwit","Limosa lapponica","issf","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Limosa lapponica"
"Baird's Sparrow","Ammodramus bairdii","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Ammodramus bairdii"
"Colima Warbler","Oreothlypis crissalis","species","Passeriformes","Parulidae (New World Warblers)","Oreothlypis crissalis"
"White-tailed Tropicbird","Phaethon lepturus","species","Phaethontiformes","Phaethontidae (Tropicbirds)","Phaethon lepturus"
"Bahama Mockingbird","Mimus gundlachii","species","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Mimus gundlachii"
"Yellow-green Vireo","Vireo flavoviridis","species","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireo flavoviridis"
"Kirtland's Warbler","Setophaga kirtlandii","species","Passeriformes","Parulidae (New World Warblers)","Setophaga kirtlandii"
"Pin-tailed Whydah","Vidua macroura","species","Passeriformes","Viduidae (Indigobirds)","Vidua macroura"
"Island Scrub-Jay","Aphelocoma insularis","species","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Aphelocoma insularis"
"Red-billed Tropicbird","Phaethon aethereus","species","Phaethontiformes","Phaethontidae (Tropicbirds)","Phaethon aethereus"
"Hawaiian Petrel","Pterodroma sandwichensis","species","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Pterodroma sandwichensis"
"Cuban Pewee","Contopus caribaeus","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Contopus caribaeus"
"Western Spindalis","Spindalis zena","species","Passeriformes","Spindalidae (Spindalises)","Spindalis zena"
"Plain-capped Starthroat","Heliomaster constantii","species","Caprimulgiformes","Trochilidae (Hummingbirds)","Heliomaster constantii"
"White-cheeked Pintail","Anas bahamensis","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Anas bahamensis"
"White-winged Parakeet","Brotogeris versicolurus","species","Psittaciformes","Psittacidae (New World and African Parrots)","Brotogeris versicolurus"
"Tamaulipas Crow","Corvus imparatus","species","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Corvus imparatus"
"Short-tailed Albatross","Phoebastria albatrus","species","Procellariiformes","Diomedeidae (Albatrosses)","Phoebastria albatrus"
"Turquoise-fronted Parrot","Amazona aestiva","species","Psittaciformes","Psittacidae (New World and African Parrots)","Amazona aestiva"
"Red-throated Pipit","Anthus cervinus","species","Passeriformes","Motacillidae (Wagtails and Pipits)","Anthus cervinus"
"Himalayan Snowcock","Tetraogallus himalayensis","species","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Tetraogallus himalayensis"
"Common Crane","Grus grus","species","Gruiformes","Gruidae (Cranes)","Grus grus"
"Mottled Petrel","Pterodroma inexpectata","species","Procellariiformes","Procellariidae (Shearwaters and Petrels)","Pterodroma inexpectata"
"White-fronted Parrot","Amazona albifrons","species","Psittaciformes","Psittacidae (New World and African Parrots)","Amazona albifrons"
"White Wagtail","Motacilla alba","issf","Passeriformes","Motacillidae (Wagtails and Pipits)","Motacilla alba"
"Sharp-tailed Sandpiper","Calidris acuminata","species","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Calidris acuminata"
"Black-throated Magpie-Jay","Calocitta colliei","species","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Calocitta colliei"
"Ross's Gull","Rhodostethia rosea","species","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Rhodostethia rosea"
"Common Ringed Plover","Charadrius hiaticula","species","Charadriiformes","Charadriidae (Plovers and Lapwings)","Charadrius hiaticula"
"Garganey","Spatula querquedula","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Spatula querquedula"
"Blue-and-yellow Macaw","Ara ararauna","species","Psittaciformes","Psittacidae (New World and African Parrots)","Ara ararauna"
"Townsend's Storm-Petrel","Oceanodroma socorroensis","species","Procellariiformes","Hydrobatidae (Storm-Petrels)","Oceanodroma socorroensis"
"White-faced Storm-Petrel","Pelagodroma marina","species","Procellariiformes","Hydrobatidae (Storm-Petrels)","Pelagodroma marina"
"Baikal Teal","Sibirionetta formosa","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Sibirionetta formosa"
"American Flamingo","Phoenicopterus ruber","species","Phoenicopteriformes","Phoenicopteridae (Flamingos)","Phoenicopterus ruber"
"Tufted Flycatcher","Mitrephanes phaeocercus","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Mitrephanes phaeocercus"
"Black-tailed Gull","Larus crassirostris","species","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Larus crassirostris"
"Crimson-fronted Parakeet","Psittacara finschi","species","Psittaciformes","Psittacidae (New World and African Parrots)","Psittacara finschi"
"Scarlet-fronted Parakeet","Psittacara wagleri","species","Psittaciformes","Psittacidae (New World and African Parrots)","Psittacara wagleri"
