"COMMON_NAME","SCIENTIFIC_NAME","CATEGORY","order","family","scientific name"
"Pyrrhuloxia","Cardinalis sinuatus","species","Passeriformes","Cardinalidae (Cardinals and Allies)","Cardinalis sinuatus"
"Pigeon Guillemot","Cepphus columba","species","Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Cepphus columba"
"Northern Goshawk","Accipiter gentilis","species","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Accipiter gentilis"
"Pacific Wren","Troglodytes pacificus","issf","Passeriformes","Troglodytidae (Wrens)","Troglodytes pacificus"
"American Dipper","Cinclus mexicanus","species","Passeriformes","Cinclidae (Dippers)","Cinclus mexicanus"
"Varied Thrush","Ixoreus naevius","species","Passeriformes","Turdidae (Thrushes and Allies)","Ixoreus naevius"
"Little Gull","Hydrocoloeus minutus","species","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Hydrocoloeus minutus"
"Pygmy Nuthatch","Sitta pygmaea","species","Passeriformes","Sittidae (Nuthatches)","Sitta pygmaea"
"Common Merganser","Mergus merganser","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Mergus merganser"
"Hudsonian Godwit","Limosa haemastica","species","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Limosa haemastica"
"Northern Pintail","Anas acuta","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Anas acuta"
"Ferruginous Hawk","Buteo regalis","species","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Buteo regalis"
"Northern Pygmy-Owl","Glaucidium gnoma","species","Strigiformes","Strigidae (Owls)","Glaucidium gnoma"
"Golden-winged Warbler","Vermivora chrysoptera","species","Passeriformes","Parulidae (New World Warblers)","Vermivora chrysoptera"
"Ross's Goose","Anser rossii","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Anser rossii"
"Rough-legged Hawk","Buteo lagopus","species","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Buteo lagopus"
"Chestnut-backed Chickadee","Poecile rufescens","species","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Poecile rufescens"
"Woodhouse's Scrub-Jay","Aphelocoma woodhouseii","species","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Aphelocoma woodhouseii"
"Blackburnian Warbler","Setophaga fusca","species","Passeriformes","Parulidae (New World Warblers)","Setophaga fusca"
"Lawrence's Goldfinch","Spinus lawrencei","species","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Spinus lawrencei"
"Black-throated Blue Warbler","Setophaga caerulescens","species","Passeriformes","Parulidae (New World Warblers)","Setophaga caerulescens"
"Henslow's Sparrow","Ammodramus henslowii","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Ammodramus henslowii"
"Cassin's Kingbird","Tyrannus vociferans","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tyrannus vociferans"
"Winter Wren","Troglodytes hiemalis","species","Passeriformes","Troglodytidae (Wrens)","Troglodytes hiemalis"
"Horned Grebe","Podiceps auritus","species","Podicipediformes","Podicipedidae (Grebes)","Podiceps auritus"
"Sandwich Tern","Thalasseus sandvicensis","species","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Thalasseus sandvicensis"
"Wrentit","Chamaea fasciata","species","Passeriformes","Paradoxornithidae (Parrotbills, Wrentit, and Allies)","Chamaea fasciata"
"Iceland Gull","Larus glaucoides","issf","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Larus glaucoides"
"Vermilion Flycatcher","Pyrocephalus rubinus","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Pyrocephalus rubinus"
"Couch's Kingbird","Tyrannus couchii","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Tyrannus couchii"
"Cackling Goose","Branta hutchinsii","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Branta hutchinsii"
"Muscovy Duck (Domestic type)","Cairina moschata (Domestic type)","domestic",NA,NA,NA
"Virginia Rail","Rallus limicola","species","Gruiformes","Rallidae (Rails, Gallinules, and Coots)","Rallus limicola"
"Eastern Screech-Owl","Megascops asio","species","Strigiformes","Strigidae (Owls)","Megascops asio"
"Greater White-fronted Goose","Anser albifrons","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Anser albifrons"
"Green Jay","Cyanocorax yncas","species","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Cyanocorax yncas"
"Olive Sparrow","Arremonops rufivirgatus","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Arremonops rufivirgatus"
"Audubon's Oriole","Icterus graduacauda","species","Passeriformes","Icteridae (Troupials and Allies)","Icterus graduacauda"
"Crissal Thrasher","Toxostoma crissale","species","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Toxostoma crissale"
"Mountain Bluebird","Sialia currucoides","species","Passeriformes","Turdidae (Thrushes and Allies)","Sialia currucoides"
"Black Oystercatcher","Haematopus bachmani","species","Charadriiformes","Haematopodidae (Oystercatchers)","Haematopus bachmani"
"Northern Red Bishop","Euplectes franciscanus","species","Passeriformes","Ploceidae (Weavers and Allies)","Euplectes franciscanus"
"Red-necked Grebe","Podiceps grisegena","species","Podicipediformes","Podicipedidae (Grebes)","Podiceps grisegena"
"Surfbird","Calidris virgata","species","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Calidris virgata"
"Bay-breasted Warbler","Setophaga castanea","species","Passeriformes","Parulidae (New World Warblers)","Setophaga castanea"
"Scaly-breasted Munia","Lonchura punctulata","species","Passeriformes","Estrildidae (Waxbills and Allies)","Lonchura punctulata"
"Red Phalarope","Phalaropus fulicarius","species","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Phalaropus fulicarius"
"Least Bittern","Ixobrychus exilis","species","Pelecaniformes","Ardeidae (Herons, Egrets, and Bitterns)","Ixobrychus exilis"
"Lapland Longspur","Calcarius lapponicus","species","Passeriformes","Calcariidae (Longspurs and Snow Buntings)","Calcarius lapponicus"
"Harlequin Duck","Histrionicus histrionicus","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Histrionicus histrionicus"
"Phainopepla","Phainopepla nitens","species","Passeriformes","Ptiliogonatidae (Silky-flycatchers)","Phainopepla nitens"
"Lewis's Woodpecker","Melanerpes lewis","species","Piciformes","Picidae (Woodpeckers)","Melanerpes lewis"
"White-headed Woodpecker","Picoides albolarvatus","species","Piciformes","Picidae (Woodpeckers)","Picoides albolarvatus"
"Swainson's Hawk","Buteo swainsoni","species","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Buteo swainsoni"
"Black-tailed Gnatcatcher","Polioptila melanura","species","Passeriformes","Polioptilidae (Gnatcatchers)","Polioptila melanura"
"Cave Swallow","Petrochelidon fulva","species","Passeriformes","Hirundinidae (Swallows)","Petrochelidon fulva"
"Bell's Vireo","Vireo bellii","species","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireo bellii"
"Northern Shrike","Lanius borealis","species","Passeriformes","Laniidae (Shrikes)","Lanius borealis"
"Violet-crowned Hummingbird","Amazilia violiceps","species","Caprimulgiformes","Trochilidae (Hummingbirds)","Amazilia violiceps"
"Broad-billed Hummingbird","Cynanthus latirostris","species","Caprimulgiformes","Trochilidae (Hummingbirds)","Cynanthus latirostris"
"Lesser Black-backed Gull","Larus fuscus","species","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Larus fuscus"
"Marbled Murrelet","Brachyramphus marmoratus","species","Charadriiformes","Alcidae (Auks, Murres, and Puffins)","Brachyramphus marmoratus"
"Rusty Blackbird","Euphagus carolinus","species","Passeriformes","Icteridae (Troupials and Allies)","Euphagus carolinus"
"Greater Prairie-Chicken","Tympanuchus cupido","species","Galliformes","Phasianidae (Pheasants, Grouse, and Allies)","Tympanuchus cupido"
"Cinnamon Teal","Spatula cyanoptera","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Spatula cyanoptera"
"Northern Saw-whet Owl","Aegolius acadicus","species","Strigiformes","Strigidae (Owls)","Aegolius acadicus"
"Mexican Jay","Aphelocoma wollweberi","species","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Aphelocoma wollweberi"
"Vaux's Swift","Chaetura vauxi","species","Caprimulgiformes","Apodidae (Swifts)","Chaetura vauxi"
"Cape May Warbler","Setophaga tigrina","species","Passeriformes","Parulidae (New World Warblers)","Setophaga tigrina"
"Olive-sided Flycatcher","Contopus cooperi","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Contopus cooperi"
"Hutton's Vireo","Vireo huttoni","species","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireo huttoni"
"Long-billed Thrasher","Toxostoma longirostre","species","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Toxostoma longirostre"
"Barn Owl","Tyto alba","species","Strigiformes","Tytonidae (Barn-Owls)","Tyto alba"
"Townsend's Solitaire","Myadestes townsendi","species","Passeriformes","Turdidae (Thrushes and Allies)","Myadestes townsendi"
"California Thrasher","Toxostoma redivivum","species","Passeriformes","Mimidae (Mockingbirds and Thrashers)","Toxostoma redivivum"
"Red Crossbill","Loxia curvirostra","species","Passeriformes","Fringillidae (Finches, Euphonias, and Allies)","Loxia curvirostra"
"Red-breasted Sapsucker","Sphyrapicus ruber","species","Piciformes","Picidae (Woodpeckers)","Sphyrapicus ruber"
"Gray Jay","Perisoreus canadensis","species","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Perisoreus canadensis"
"Canyon Towhee","Melozone fusca","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Melozone fusca"
"Bridled Titmouse","Baeolophus wollweberi","species","Passeriformes","Paridae (Tits, Chickadees, and Titmice)","Baeolophus wollweberi"
"Cassin's Vireo","Vireo cassinii","species","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireo cassinii"
"Clark's Nutcracker","Nucifraga columbiana","species","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Nucifraga columbiana"
"Gull-billed Tern","Gelochelidon nilotica","species","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Gelochelidon nilotica"
"Hammond's Flycatcher","Empidonax hammondii","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Empidonax hammondii"
"Broad-tailed Hummingbird","Selasphorus platycercus","species","Caprimulgiformes","Trochilidae (Hummingbirds)","Selasphorus platycercus"
"Ruff","Calidris pugnax","species","Charadriiformes","Scolopacidae (Sandpipers and Allies)","Calidris pugnax"
"Black-legged Kittiwake","Rissa tridactyla","species","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Rissa tridactyla"
"Brewer's Sparrow","Spizella breweri","species","Passeriformes","Passerellidae (New World Buntings and Sparrows)","Spizella breweri"
"Great Kiskadee","Pitangus sulphuratus","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Pitangus sulphuratus"
"Least Grebe","Tachybaptus dominicus","species","Podicipediformes","Podicipedidae (Grebes)","Tachybaptus dominicus"
"Williamson's Sapsucker","Sphyrapicus thyroideus","species","Piciformes","Picidae (Woodpeckers)","Sphyrapicus thyroideus"
"Gray Flycatcher","Empidonax wrightii","species","Passeriformes","Tyrannidae (Tyrant Flycatchers)","Empidonax wrightii"
"Mew Gull","Larus canus","issf","Charadriiformes","Laridae (Gulls, Terns, and Skimmers)","Larus canus"
"Snowy Owl","Bubo scandiacus","species","Strigiformes","Strigidae (Owls)","Bubo scandiacus"
"Tennessee Warbler","Oreothlypis peregrina","species","Passeriformes","Parulidae (New World Warblers)","Oreothlypis peregrina"
"Band-tailed Pigeon","Patagioenas fasciata","species","Columbiformes","Columbidae (Pigeons and Doves)","Patagioenas fasciata"
"Green Kingfisher","Chloroceryle americana","species","Coraciiformes","Alcedinidae (Kingfishers)","Chloroceryle americana"
"Hooded Warbler","Setophaga citrina","species","Passeriformes","Parulidae (New World Warblers)","Setophaga citrina"
"Tundra Swan","Cygnus columbianus","species","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Cygnus columbianus"
"Limpkin","Aramus guarauna","species","Gruiformes","Aramidae (Limpkin)","Aramus guarauna"
"Arizona Woodpecker","Picoides arizonae","species","Piciformes","Picidae (Woodpeckers)","Picoides arizonae"
"Plumbeous Vireo","Vireo plumbeus","species","Passeriformes","Vireonidae (Vireos, Shrike-Babblers, and Erpornis)","Vireo plumbeus"
"Yellow-billed Magpie","Pica nuttalli","species","Passeriformes","Corvidae (Crows, Jays, and Magpies)","Pica nuttalli"
"Harris's Hawk","Parabuteo unicinctus","species","Accipitriformes","Accipitridae (Hawks, Eagles, and Kites)","Parabuteo unicinctus"
"Eastern Whip-poor-will","Antrostomus vociferus","species","Caprimulgiformes","Caprimulgidae (Nightjars and Allies)","Antrostomus vociferus"
"Painted Redstart","Myioborus pictus","species","Passeriformes","Parulidae (New World Warblers)","Myioborus pictus"
"Blue-throated Hummingbird","Lampornis clemenciae","species","Caprimulgiformes","Trochilidae (Hummingbirds)","Lampornis clemenciae"
