COMMON_NAME,SCIENTIFIC_NAME,CATEGORY,order,family,scientific name,CLASSIFICATION
Bushtit,Psaltriparus minimus,species,Passeriformes,Aegithalidae (Long-tailed Tits),Psaltriparus minimus,N
Cackling Goose,Branta hutchinsii,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Branta hutchinsii,N
Cactus Wren,Campylorhynchus brunneicapillus,species,Passeriformes,Troglodytidae (Wrens),Campylorhynchus brunneicapillus,N
California Condor,Gymnogyps californianus,species,Cathartiformes,Cathartidae (New World Vultures),Gymnogyps californianus,N
California Gnatcatcher,Polioptila californica,species,Passeriformes,Polioptilidae (Gnatcatchers),Polioptila californica,N
California Gull,Larus californicus,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Larus californicus,N
California Quail,Callipepla californica,species,Galliformes,Odontophoridae (New World Quail),Callipepla californica,N
California Scrub-Jay,Aphelocoma californica,species,Passeriformes,"Corvidae (Crows, Jays, and Magpies)",Aphelocoma californica,N
California Thrasher,Toxostoma redivivum,species,Passeriformes,Mimidae (Mockingbirds and Thrashers),Toxostoma redivivum,N
California Towhee,Melozone crissalis,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Melozone crissalis,N
Calliope Hummingbird,Selasphorus calliope,species,Caprimulgiformes,Trochilidae (Hummingbirds),Selasphorus calliope,N
Canada Goose,Branta canadensis,issf,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Branta canadensis,N
Canada Warbler,Cardellina canadensis,species,Passeriformes,Parulidae (New World Warblers),Cardellina canadensis,N
Canvasback,Aythya valisineria,species,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",Aythya valisineria,N
Canyon Towhee,Melozone fusca,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Melozone fusca,N
Canyon Wren,Catherpes mexicanus,species,Passeriformes,Troglodytidae (Wrens),Catherpes mexicanus,N
Cape May Warbler,Setophaga tigrina,species,Passeriformes,Parulidae (New World Warblers),Setophaga tigrina,N
Carolina Chickadee,Poecile carolinensis,species,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Poecile carolinensis,N
Carolina Wren,Thryothorus ludovicianus,species,Passeriformes,Troglodytidae (Wrens),Thryothorus ludovicianus,N
Caspian Tern,Hydroprogne caspia,species,Charadriiformes,"Laridae (Gulls, Terns, and Skimmers)",Hydroprogne caspia,N
Cassia Crossbill,Loxia sinesciuris,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Loxia sinesciuris,N
Cassin's Finch,Haemorhous cassinii,species,Passeriformes,"Fringillidae (Finches, Euphonias, and Allies)",Haemorhous cassinii,N
Cassin's Kingbird,Tyrannus vociferans,species,Passeriformes,Tyrannidae (Tyrant Flycatchers),Tyrannus vociferans,N
Cassin's Sparrow,Peucaea cassinii,species,Passeriformes,Passerellidae (New World Buntings and Sparrows),Peucaea cassinii,N
Cassin's Vireo,Vireo cassinii,species,Passeriformes,"Vireonidae (Vireos, Shrike-Babblers, and Erpornis)",Vireo cassinii,N
Cattle Egret,Bubulcus ibis,species,Pelecaniformes,"Ardeidae (Herons, Egrets, and Bitterns)",Bubulcus ibis,N
Cave Swallow,Petrochelidon fulva,species,Passeriformes,Hirundinidae (Swallows),Petrochelidon fulva,N
Cedar Waxwing,Bombycilla cedrorum,species,Passeriformes,Bombycillidae (Waxwings),Bombycilla cedrorum,N
Cerulean Warbler,Setophaga cerulea,species,Passeriformes,Parulidae (New World Warblers),Setophaga cerulea,N
Chestnut-backed Chickadee,Poecile rufescens,species,Passeriformes,"Paridae (Tits, Chickadees, and Titmice)",Poecile rufescens,N
Chestnut-collared Longspur,Calcarius ornatus,species,Passeriformes,Calcariidae (Longspurs and Snow Buntings),Calcarius ornatus,N
Chestnut-sided Warbler,Setophaga pensylvanica,species,Passeriformes,Parulidae (New World Warblers),Setophaga pensylvanica,N
