NAME10,0,Green_Area,12,Open_urban,Low_intensity_Developed,Medium_high_intensity_Developed,Medium_high_intensity_Developed,Open_urban,Green_Area,Green_Area,Green_Area,Green_Area,Agriculture,Agriculture,Agriculture,Green_Area,Green_Area,Total_Green_Area,Total_Agriculture,Total_Open_Urban,Total_Low_Intensity_Developed,Total_Medium_High_Intensity_Developed,Total
Navasota__TX,0,48,0,2139,5886,1710,1216,28,942,42,270,497,481,8650,364,1301,103,3203,9495,2167,5886,2926,23677
Henderson__TN,0,28,0,3058,2012,1324,477,0,1845,290,578,1115,96,1215,1279,150,12,4018,2590,3058,2012,1801,13479
White_Pine__TN,0,0,0,2337,1062,276,65,0,726,72,237,81,41,3298,24,83,0,1199,3363,2337,1062,341,8302
Broadway__VA,0,113,0,2610,3324,1135,372,0,292,199,14,0,46,2322,70,0,0,618,2438,2610,3324,1507,10497
Washington__IN,0,148,0,4583,3928,1634,615,0,2530,56,0,0,20,2829,2607,0,15,2749,5456,4583,3928,2249,18965
Ottawa__KS,0,13,0,3148,7168,2097,974,0,308,0,13,0,275,1459,135,14,2,350,1869,3148,7168,3071,15606
Lancaster__KY,0,4,0,1210,817,329,213,0,1497,0,0,0,5,2328,94,0,0,1501,2427,1210,817,542,6497
Nicholasville__KY,0,31,0,6043,7650,4103,1413,5,2602,0,0,24,36,8075,921,0,0,2657,9032,6048,7650,5516,30903
Ripley__TN,0,70,0,6888,4769,1733,756,0,3780,15,13,1055,23,1386,6081,364,14,5311,7490,6888,4769,2489,26947
Savannah__TN,0,26,0,4859,5764,2054,824,8,1583,212,529,1667,90,2824,1048,455,197,4669,3962,4867,5764,2878,22140
Rutland__VT,0,81,0,6407,5733,8675,2668,99,4368,2294,485,465,79,2228,140,1604,263,9560,2447,6506,5733,11343,35589
Woodland__WA,0,249,0,1299,2728,2178,1044,15,154,1,12,109,57,1739,296,111,190,826,2092,1314,2728,3222,10182
Camano_North__WA,0,10,0,592,1829,667,15,463,281,1227,421,38,10,163,0,0,123,2100,173,1055,1829,682,5839
Black_River_Falls__WI,0,201,0,2760,2813,1260,606,0,2144,1281,126,542,1708,12,1610,430,43,4767,3330,2760,2813,1866,15536
Franklin__VA,0,108,0,5337,3215,1799,987,1,732,1911,411,1416,307,355,1950,1150,15,5743,2612,5338,3215,2786,19694
Luray__VA,0,0,0,2847,3861,840,327,0,502,388,55,0,0,2288,204,0,0,945,2492,2847,3861,1167,11312
Lewisburg__WV,0,180,0,5058,5475,2208,963,53,3372,148,105,0,110,1922,30,0,0,3805,2062,5111,5475,3171,19624
Beaver_Dam__KY,0,47,0,3708,1600,863,398,18,2064,11,0,0,0,2100,1236,41,46,2209,3336,3726,1600,1261,12132
Jeanerette__LA,0,353,0,1817,4440,328,187,5,141,14,320,133,60,542,2004,517,85,1563,2606,1822,4440,515,10946
Lake_Providence__LA,0,227,0,3065,1264,475,169,0,157,135,96,0,2,67,1453,985,11,1611,1522,3065,1264,644,8106
Park_City__UT,0,74,0,5109,3498,3678,472,24,4894,2001,0,11580,8,2136,968,215,0,18764,3112,5133,3498,4150,34657
Diamondhead__MS,0,43,0,6771,3465,268,64,17,6,2234,7,672,38,116,0,1683,182,4827,154,6788,3465,332,15566
Cheboygan__MI,0,215,0,3138,2768,1836,885,14,330,131,74,19,217,59,254,250,45,1064,530,3152,2768,2721,10235
Tappahannock__VA,0,317,0,1925,1385,1119,451,17,310,135,206,169,44,131,253,674,970,2781,428,1942,1385,1570,8106
Rawlins__WY,0,0,0,1912,4997,3515,571,0,0,0,0,1840,309,64,0,6,9,1855,373,1912,4997,4086,13223
Delavan__WI,0,689,0,5269,6544,2046,1123,0,1383,12,0,58,849,1090,3828,25,23,2190,5767,5269,6544,3169,22939
Pulaski__WI,0,0,0,848,1581,864,367,0,106,0,0,0,29,183,250,3,14,123,462,848,1581,1231,4245
Reedsburg__WI,0,0,0,2013,4456,2472,991,0,857,3,9,38,9,620,1876,369,191,1467,2505,2013,4456,3463,13904
Grandview__WA,0,315,0,8013,8145,3903,685,0,0,0,0,1841,204,1029,7687,7,180,2343,8920,8013,8145,4588,32009
Breckenridge__TX,0,13,0,4171,3029,1265,636,0,57,62,16,385,1187,0,0,0,0,533,1187,4171,3029,1901,10821
Kiel__New_Holstein__WI,0,88,0,1762,3763,2213,498,0,151,7,3,14,39,839,1597,115,76,454,2475,1762,3763,2711,11165
Arcadia__WI,0,25,0,512,1378,1004,724,0,448,0,7,0,21,699,1165,82,70,632,1885,512,1378,1728,6135
Easton__MD,0,300,0,7277,6224,3920,1384,0,1428,318,178,251,81,661,4045,1568,166,4209,4787,7277,6224,5304,27801
Otsego__Plainwell__MI,0,461,0,4829,6291,2880,1318,40,1217,11,58,26,182,1181,2832,1360,94,3227,4195,4869,6291,4198,22780
Browning__MT,0,64,0,835,1450,654,96,0,0,9,0,609,1663,0,19,27,53,762,1682,835,1450,750,5479
Richlands_South__NC,0,321,0,4542,1178,281,92,714,18,4419,795,2578,2528,0,6191,4602,629,13362,8719,5256,1178,373,28888
Fairmont__NC,0,0,0,1315,1084,454,211,0,0,644,20,496,11,2,523,838,17,2015,536,1315,1084,665,5615
Jamestown__ND,0,213,0,5696,7328,4569,874,0,35,8,0,0,1470,2226,5226,135,678,1069,8922,5696,7328,5443,28458
Williston__ND,0,167,0,3032,5893,4732,1432,9,15,0,0,47,4150,0,568,173,458,860,4718,3041,5893,6164,20676
Quincy__WA,0,19,0,973,2370,2693,724,13,0,0,0,75,0,0,1619,0,0,94,1619,986,2370,3417,8486
Hayward__WI,0,721,0,3057,1472,1075,536,0,438,162,505,130,18,239,94,175,0,2131,351,3057,1472,1611,8622
Crawfordsville__IN,0,334,0,6329,7123,3604,1751,0,5904,0,0,0,25,3260,6189,56,0,6294,9474,6329,7123,5355,34575
