NAME10,0,Green_Area,12,Open_urban,Low_intensity_Developed,Medium_high_intensity_Developed,Medium_high_intensity_Developed,Open_urban,Green_Area,Green_Area,Green_Area,Green_Area,Agriculture,Agriculture,Agriculture,Green_Area,Green_Area,Total_Green_Area,Total_Agriculture,Total_Open_Urban,Total_Low_Intensity_Developed,Total_Medium_High_Intensity_Developed,Total
Montgomery__AL,0,2846,0,112529,107455,58620,19086,1513,26609,11168,23284,21556,1817,25418,11278,21125,864,107452,38513,114042,107455,77706,445168
North_Port__Port_Charlotte__FL,0,14720,0,152440,103818,37074,7395,222,26,5237,138,2932,1819,407,0,36550,9499,69102,2226,152662,103818,44469,372277
Waldorf__MD,0,1023,0,46491,34292,12462,4094,1433,59649,3981,4811,2401,710,2069,7547,14700,733,87298,10326,47924,34292,16556,196396
Prestonsburg__KY,0,707,0,1582,3228,2472,713,191,3085,21,82,7,615,2560,210,0,0,3902,3385,1773,3228,3185,15473
Port_Jervis__NY__PA,0,828,0,6895,5688,3510,1046,0,7821,522,1892,280,15,287,1632,885,16,12244,1934,6895,5688,4556,31317
High_Point__NC,0,4776,0,95359,84540,35249,14240,37,57294,7097,1378,2119,6297,20761,142,808,199,73671,27200,95396,84540,49489,330296
Florence__AL,0,2046,0,50545,48827,15843,6288,124,16941,2579,3619,5161,2471,17595,6954,2023,0,32369,27020,50669,48827,22131,181016
Nogales__AZ,116,5,0,14068,6463,2972,1277,32,0,0,0,46294,0,89,224,190,210,46699,313,14100,6463,4249,71940
Santa_Clarita__CA,0,23,0,43378,46133,48914,4572,4484,29,331,570,38570,31492,1474,505,79,283,39885,33471,47862,46133,53486,220837
Rio_Vista__CA,0,13,0,1061,1138,2823,558,541,0,0,0,0,1434,1129,450,0,33,46,3013,1602,1138,3381,9180
Spring_Hill__FL,0,1410,0,110108,108103,31115,6077,1139,536,47043,900,11144,2941,7691,32,9769,4470,75272,10664,111247,108103,37192,342478
Idaho_Falls__ID,0,265,0,30333,35653,20828,2345,175,0,0,0,385,1742,2304,34474,26,34,710,38520,30508,35653,23173,128564
Story_City__IA,0,0,0,1257,1362,530,192,0,0,0,0,0,208,0,335,320,0,320,543,1257,1362,722,4204
Elizabethtown__Radcliff__KY,0,919,0,33768,24660,13293,5695,625,46993,1252,283,326,1865,25998,9405,0,0,49773,37268,34393,24660,18988,165082
Presque_Isle__ME,0,31,0,3600,3159,2691,2079,0,458,140,553,269,174,342,1301,761,53,2265,1817,3600,3159,4770,15611
Mountain_Grove__MO,0,14,0,1329,3172,1253,470,30,237,0,25,1,11,1385,0,0,0,277,1396,1359,3172,1723,7927
Bismarck__ND,0,2130,0,22203,31944,21149,6936,69,276,207,104,3,16111,1913,4121,3987,2265,8972,22145,22272,31944,28085,113418
Aumsville__OR,0,54,0,490,956,902,209,0,0,0,0,0,0,598,89,1,0,55,687,490,956,1111,3299
Grants_Pass__OR,0,965,0,19484,20333,11955,5604,53,21,3535,1857,4738,4786,3323,23,1941,455,13512,8132,19537,20333,17559,79073
Corvallis__OR,0,29,0,8198,17937,11984,4099,134,548,2050,1974,385,1457,9018,1323,1518,193,6697,11798,8332,17937,16083,60847
West_Union__OH,0,5,0,856,850,468,213,0,2521,18,5,29,23,1054,165,0,0,2578,1242,856,850,681,6207
Amarillo__TX,0,1189,0,27633,86813,32448,20921,109,620,6,0,6917,49791,0,8882,32,33,8797,58673,27742,86813,53369,235394
Middlebury__VT,0,89,0,941,1323,1556,297,0,1695,394,298,144,151,2576,196,183,163,2966,2923,941,1323,1853,10006
Sequim__WA,0,209,0,5223,17314,11043,4241,345,504,4437,921,1134,942,21845,590,1065,432,8702,23377,5568,17314,15284,70245
Ladysmith__WI,0,799,0,1697,2344,822,498,0,1156,17,225,66,14,148,272,267,68,2598,434,1697,2344,1320,8393
Daphne__Fairhope__AL,0,676,0,39158,21334,8596,2697,1095,444,35558,3070,6124,5733,12308,8371,13379,1063,60314,26412,40253,21334,11293,159606
Port_St__Joe__FL,0,193,0,1649,3130,922,258,254,4,319,0,595,311,0,0,560,102,1773,311,1903,3130,1180,8297
Albany__GA,0,1138,0,54058,49479,16900,9963,998,13151,22091,7574,1874,8145,5349,2378,12457,1210,59495,15872,55056,49479,26863,206765
El_Paso__TX__NM,209,1758,0,82898,194054,154763,60791,5083,0,60,0,122406,14522,519,87888,11,12,124247,102929,87981,194054,215554,724974
Greensboro__NC,0,10296,0,143516,124180,63078,31914,410,93526,14443,3295,3588,9569,42618,663,4091,74,129313,52850,143926,124180,94992,545261
Bellingham__WA,0,10200,0,25434,40649,22120,9501,280,7025,10744,9667,1476,1631,5740,235,2999,1121,43232,7606,25714,40649,31621,148822
Flagstaff__AZ,0,44,0,13974,16428,19076,6674,6,0,31310,0,8486,3894,0,0,20,284,40144,3894,13980,16428,25750,100196
Grass_Valley__CA,0,99,0,16510,9841,3683,1461,0,4822,33094,5046,2419,3673,0,0,0,0,45480,3673,16510,9841,5144,80648
Silverthorne__Frisco__CO,0,170,0,4840,6473,4018,914,30,1186,2918,118,1247,2230,0,0,1694,107,7440,2230,4870,6473,4932,25945
Orangetree__FL,0,1256,0,9833,5163,1400,308,52,0,0,0,160,654,739,2741,6846,494,8756,4134,9885,5163,1708,29646
Rushville__IN,0,5,0,1480,3310,1448,470,0,593,0,0,0,250,389,4113,38,11,647,4752,1480,3310,1918,12107
Port_Barre__LA,0,113,0,1017,1694,161,142,0,30,0,0,0,57,811,615,259,8,410,1483,1017,1694,303,4907
Brunswick__ME,0,1794,0,15374,12308,7969,4334,122,4671,6207,10086,1730,1142,1551,382,3892,993,29373,3075,15496,12308,12303,72555
Cannon_Falls__MN,0,58,0,1741,2088,1014,339,0,1184,17,4,0,691,0,409,190,17,1470,1100,1741,2088,1353,7752
Hayti__MO,0,57,0,2176,919,456,114,0,0,0,0,0,0,0,916,14,0,71,916,2176,919,570,4652
Las_Cruces__NM,0,262,0,22855,49075,30174,6392,150,0,0,0,50336,1044,155,26080,35,33,50666,27279,23005,49075,36566,186591
Eldon__MO,0,0,0,1152,3087,989,413,0,566,5,32,89,16,1192,127,9,0,701,1335,1152,3087,1402,7677
Marion__NC,0,70,0,13016,4292,2121,648,79,13167,2562,1331,1209,1478,4723,301,305,43,18687,6502,13095,4292,2769,45345
Klamath_Falls__Altamont__OR,0,372,0,9688,19218,10756,5113,160,66,563,0,2881,4698,842,8573,0,106,3988,14113,9848,19218,15869,63036
Roaring_Spring__PA,0,3,0,2536,4063,1935,664,818,3651,36,8,1,0,4332,2602,0,0,3699,6934,3354,4063,2599,20649
New_Lexington__OH,0,0,0,1268,1696,925,415,0,358,27,0,0,219,480,206,0,0,385,905,1268,1696,1340,5594
Columbia__TN,0,226,0,22109,17412,5393,2188,43,6591,319,1256,1074,733,12832,857,236,0,9702,14422,22152,17412,7581,71269
Lake_Conroe_Westshore__TX,0,5718,0,8620,13994,4272,1009,95,89,1612,4702,1297,2672,898,0,412,133,13963,3570,8715,13994,5281,45523
Cactus__TX,0,0,0,312,905,313,25,0,0,0,0,46,428,0,41,0,0,46,469,312,905,338,2070
Olympia__Lacey__WA,0,29278,0,73527,73243,40890,14011,7250,19004,27420,21976,5255,6313,9743,1075,9256,4164,116353,17131,80777,73243,54901,342405
Appleton__WI,0,11436,0,48462,106548,60731,23579,2175,6913,142,219,260,1860,10344,31940,4671,1221,24862,44144,50637,106548,84310,310501
St__James__MN,0,33,0,1053,1959,1562,405,0,41,0,0,0,0,0,600,0,139,213,600,1053,1959,1967,5792
San_Francisco__Oakland__CA,0,27983,0,268076,277123,515866,217195,7353,8415,38237,62112,29299,58949,14,63,1273,14998,182317,59026,275429,277123,733061,1526956
Palm_Bay__Melbourne__FL,0,139969,0,190418,194591,97792,25589,2170,21,17885,1446,8500,4628,3087,1271,102323,24011,294155,8986,192588,194591,123381,813701
South_Bend__IN__MI,0,8673,0,134111,134261,64266,27877,1759,28471,1227,706,958,3226,9691,38323,18265,710,59010,51240,135870,134261,92143,472524
Cumberland__MD__WV__PA,0,771,0,18107,16740,7811,3191,225,37782,1109,571,19,67,6912,286,61,0,40313,7265,18332,16740,11002,93652
Michigan_City__La_Porte__IN__MI,0,3745,0,15506,29501,15578,6841,854,16582,443,388,2900,6672,2096,6281,8296,532,32886,15049,16360,29501,22419,116215
Lancaster__PA,0,4024,0,145764,120274,55432,24516,4303,75526,3273,5804,19840,2697,112960,140460,4758,577,113802,256117,150067,120274,79948,720208
Marianna__AR,0,0,0,2217,1557,589,182,0,94,2,117,0,0,0,1459,84,0,297,1459,2217,1557,771,6301
Richgrove__CA,0,0,0,142,251,369,11,0,0,0,0,0,6,0,49,0,0,0,55,142,251,380,828
Heyworth__IL,0,16,0,978,1499,613,82,0,504,0,0,0,7,484,647,0,0,520,1138,978,1499,695,4830
Eureka__KS,0,0,0,884,2420,547,127,0,4,0,0,0,11,202,0,0,0,4,213,884,2420,674,4195
Gladwin__MI,0,1,0,2134,2528,1290,555,0,130,299,0,139,305,52,41,396,48,1013,398,2134,2528,1845,7918
Oxford__MS,0,95,0,12764,9601,6747,1635,112,5012,2081,2059,2862,432,1359,855,451,48,12608,2646,12876,9601,8382,46113
Hollandale__MS,0,5,0,1527,737,336,87,0,0,0,21,0,0,0,827,202,0,228,827,1527,737,423,3742
Missoula__MT,0,653,0,19139,38592,27351,4665,45,23,4609,15,6063,12880,10693,2555,2524,806,14693,26128,19184,38592,32016,130613
St__Pauls__NC,0,0,0,1495,1484,601,164,0,41,478,37,692,335,10,852,442,47,1737,1197,1495,1484,765,6678
Spartanburg__SC,0,8455,0,150874,80783,34033,17869,2051,124393,35924,2094,5906,27346,55083,313,10199,172,187143,82742,152925,80783,51902,555495
Pine_Ridge__SD,0,0,0,369,1184,644,96,6,5,0,0,25,605,0,57,123,23,176,662,375,1184,740,3137
Cleburne__TX,0,83,0,15175,10214,5176,3331,17,2005,592,0,56,11041,1112,123,1373,0,4109,12276,15192,10214,8507,50298
Staunton__Waynesboro__VA,0,170,0,21775,30710,12172,5659,251,10646,4342,618,0,262,21716,1630,23,0,15799,23608,22026,30710,17831,109974
Chase_City__VA,0,0,0,2104,1236,388,157,0,814,335,50,8,44,349,0,49,0,1256,393,2104,1236,545,5534
Fairmont__WV,0,3070,0,15996,13456,6848,2619,235,28847,131,265,0,257,5786,113,0,0,32313,6156,16231,13456,9467,77623
Wapato__WA,0,6,0,1949,2285,1231,383,0,0,0,0,858,143,230,554,0,20,884,927,1949,2285,1614,7659
Rhinelander__WI,0,4019,0,4581,4761,2686,1415,27,3951,237,2624,127,124,173,317,2883,1104,14945,614,4608,4761,4101,29029
Falls_City__NE,0,6,0,713,2911,722,312,0,10,0,0,0,0,284,128,88,43,147,412,713,2911,1034,5217
Gainesville__FL,0,1034,0,77697,43406,17211,3451,165,1156,62223,6609,10632,3298,8222,913,17352,1350,100356,12433,77862,43406,20662,254719
Worcester__MA__CT,0,32456,0,120342,127536,119449,38174,5143,263040,35703,19985,14551,4700,35916,4314,78000,12420,456155,44930,125485,127536,157623,911729
Vicksburg__MS__LA,0,740,0,22065,10698,6799,2754,71,19043,194,1930,3159,501,1425,958,1191,5,26262,2884,22136,10698,9553,71533
Maysville__KY__OH,0,494,0,3450,3206,2793,1323,13,5824,8,37,128,83,4402,421,0,1,6492,4906,3463,3206,4116,22183
Natchez__MS__LA,0,472,0,20693,11351,5348,1710,254,4947,193,3703,2057,1857,2421,5464,1342,89,12803,9742,20947,11351,7058,61901
Benton_Harbor__St__Joseph__Fair_Plain__MI,0,1739,0,39651,33073,14645,5857,1326,12248,433,588,94,3547,3052,11027,9169,695,24966,17626,40977,33073,20502,137144
Somerset__KY,0,1108,0,17389,22106,10121,4511,924,15159,372,83,213,1185,26547,1103,0,26,16961,28835,18313,22106,14632,100847
Mount_Airy__NC__VA,0,52,0,23651,11153,4442,1757,26,12676,2152,1575,843,1472,9032,369,3,2,17303,10873,23677,11153,6199,69205
Lima__OH,0,4048,0,43167,42083,16599,10968,6,13956,134,0,6,875,918,21875,40,662,18846,23668,43173,42083,27567,155337
Lewistown__PA,0,834,0,7437,9275,4341,1811,0,10550,212,308,0,0,4816,3082,23,10,11937,7898,7437,9275,6152,42699
San_Joaquin__CA,0,0,0,226,440,805,107,72,0,0,0,0,5,48,1066,0,0,0,1119,298,440,912,2769
Fort_Irwin__CA,0,0,0,625,2900,1596,625,186,19,0,0,2576,15,0,0,0,0,2595,15,811,2900,2221,8542
Ocala__FL,0,584,0,111980,66761,26287,8516,1154,799,53347,50,20767,8906,20585,1948,1106,436,77089,31439,113134,66761,34803,323226
Dalton__GA,0,401,0,59811,37418,16687,11274,216,36914,15188,16326,9170,4002,21380,2220,1636,111,79746,27602,60027,37418,27961,232754
Soperton__GA,0,27,0,1814,1312,235,90,0,134,783,130,461,420,288,491,954,71,2560,1199,1814,1312,325,7210
Bloomington__IN,0,121,0,27946,22329,11971,3825,43,35806,317,12,559,1322,21723,2875,0,0,36815,25920,27989,22329,15796,128849
Polk_City__IA,0,30,0,1379,1304,378,28,0,1027,0,0,0,397,136,613,29,0,1086,1146,1379,1304,406,5321
Morgan_City__LA,0,3912,0,6675,20367,6613,6700,261,47,47,11,306,133,2174,2371,17399,2354,24076,4678,6936,20367,13313,69370
Wiggins__MS,0,24,0,2909,1501,595,214,232,25,1553,293,1130,344,654,0,1089,62,4176,998,3141,1501,809,10625
Potsdam__NY,0,528,0,2115,1976,950,326,0,1652,368,87,65,0,857,102,740,151,3591,959,2115,1976,1276,9917
Eaton__OH,0,14,0,3092,3945,1572,596,0,490,0,16,0,0,230,1265,0,5,525,1495,3092,3945,2168,11225
Halls__TN,0,0,0,2213,873,269,153,0,199,0,0,0,0,0,2215,158,11,368,2215,2213,873,422,6091
Roanoke__VA,0,496,0,75274,117500,51088,20126,186,55991,5794,3781,111,759,27643,361,7,0,66180,28763,75460,117500,71214,359117
Premont__TX,0,0,0,1367,1197,357,100,0,0,0,0,7,0,4,4,1,0,8,8,1367,1197,457,3037
Tunica__MS,0,22,0,1245,1242,702,243,0,7,12,29,0,0,8,1245,61,0,131,1253,1245,1242,945,4816
Red_Bud__IL,0,38,0,1155,2505,1349,353,0,90,0,0,0,0,148,965,0,0,128,1113,1155,2505,1702,6603
Oxnard__CA,0,1884,0,33170,46948,93568,11511,2414,0,2487,1864,10801,6869,1630,30007,1740,2399,21175,38506,35584,46948,105079,247292
Concord__CA,0,3615,0,153193,137636,130329,25875,1023,0,1779,40285,2567,88447,0,532,693,1970,50909,88979,154216,137636,156204,587944
Chesapeake_Beach__MD,0,471,0,14998,5583,1584,328,21,32160,341,1808,733,215,2858,4698,6046,1983,43542,7771,15019,5583,1912,73827
Harlan__KY,0,169,0,2443,3752,2468,605,171,2619,40,106,5,1994,353,0,0,17,2956,2347,2614,3752,3073,14742
Tupelo__MS,0,1324,0,38497,29983,17479,7796,112,4096,4260,2745,3768,305,11856,9899,3854,1017,21064,22060,38609,29983,25275,136991
Lorain__Elyria__OH,0,4468,0,60263,81388,28764,10052,2118,57211,535,29,117,1409,11472,19102,14930,138,77428,31983,62381,81388,38816,291996
Jonesboro__AR,0,689,0,40481,21052,12968,5368,292,18938,331,1108,36,266,14586,16989,2666,21,23789,31841,40773,21052,18336,135791
Yucca_Valley__CA,0,8,0,8206,10652,1855,585,43,7,0,16,27825,789,0,0,0,0,27856,789,8249,10652,2440,49986
Gilroy__Morgan_Hill__CA,0,94,0,35278,24479,27838,6337,51,5,86,2848,1235,14765,2469,15102,136,43,4447,32336,35329,24479,34175,130766
Ukiah__CA,0,48,0,9383,8628,6399,1563,10,362,576,1477,2836,7504,0,7250,129,0,5428,14754,9393,8628,7962,46165
Gainesville__GA,0,10640,0,82396,54499,19207,9365,1212,127589,21173,1530,1725,12789,28149,0,1234,79,163970,40938,83608,54499,28572,371587
Bloomington__Normal__IL,0,1034,0,21993,47370,37576,13991,68,963,0,0,0,705,1481,16426,0,0,1997,18612,22061,47370,51567,141607
Mitchell__IN,0,11,0,2211,1715,895,383,0,284,23,0,0,0,2044,863,0,0,318,2907,2211,1715,1278,8429
Bardstown__KY,0,156,0,7430,5729,2816,1664,200,12248,316,97,6,117,14106,4339,13,5,12841,18562,7630,5729,4480,49242
Kaplan__LA,0,0,0,1031,4233,317,179,0,0,0,0,0,24,119,252,0,0,0,395,1031,4233,496,6155
Westminster__Eldersburg__MD,0,466,0,41931,16825,6098,1629,135,40359,1166,1618,2701,389,22325,29394,1885,43,48238,52108,42066,16825,7727,166964
California__MO,0,38,0,1317,2409,1164,409,11,345,0,5,16,0,832,24,12,0,416,856,1328,2409,1573,6582
Farmington__NH,0,0,0,703,867,454,68,12,144,275,727,217,42,19,30,381,0,1744,91,715,867,522,3939
Geneva__NY,0,543,0,11053,9560,3832,1268,20,4141,221,1621,934,759,7252,1734,1385,183,9028,9745,11073,9560,5100,44506
Sunbury__PA,0,1830,0,9126,11451,5640,2393,87,6671,219,360,149,23,5398,6179,349,69,9647,11600,9213,11451,8033,49944
Grafton__ND,0,76,0,1212,2471,896,317,0,83,0,0,0,0,0,229,3,0,162,229,1212,2471,1213,5287
Kermit__TX,0,0,0,1195,2417,2335,462,0,0,0,0,2640,136,0,123,23,0,2663,259,1195,2417,2797,9331
Floydada__TX,0,15,0,1558,2212,469,177,0,0,0,0,0,324,0,26,0,0,15,350,1558,2212,646,4781
Lynchburg__VA,0,1284,0,52476,55310,19750,8235,6,65435,12921,8469,1034,1351,30100,692,5,0,89148,32143,52482,55310,27985,257068
St__George__UT,0,48,0,20154,35263,19692,4109,190,63,198,600,38618,1448,2783,3095,2726,13,42266,7326,20344,35263,23801,129000
Oshkosh__WI,0,3489,0,17295,28935,19042,6978,290,1043,9,54,43,245,2396,8526,1944,1367,7949,11167,17585,28935,26020,91656
Nine_Mile_Falls__WA,0,6,0,2379,4374,615,18,0,0,2449,0,2511,133,0,0,1,1,4968,133,2379,4374,633,12487
South_Vacherie__LA,0,0,0,463,1960,102,21,17,0,28,0,24,25,22,938,538,20,610,985,480,1960,123,4158
Arroyo_Grande__Grover_Beach__CA,0,342,0,15930,14310,13954,660,727,0,1562,3716,4439,6993,1422,1928,423,256,10738,10343,16657,14310,14614,66662
Riverside__San_Bernardino__CA,0,1351,0,320951,420106,450691,45869,8863,13,521,1664,78136,192199,18636,26287,10099,2218,94002,237122,329814,420106,496560,1577604
Bonita_Springs__FL,0,18546,0,147669,162219,90411,20023,1577,0,3131,44,1314,1342,572,574,121153,11852,156040,2488,149246,162219,110434,580427
Panama_City__FL,0,17942,0,65093,73911,42174,13077,4197,0,19140,66,10900,2509,1410,180,27897,7921,83866,4099,69290,73911,55251,286417
Iowa_City__IA,0,1886,0,30354,32212,18964,7994,610,12228,5,0,0,5528,5895,14251,1708,591,16418,25674,30964,32212,26958,132226
Cedar_Rapids__IA,0,2736,0,57435,67274,37634,17721,598,17518,67,0,0,6524,5777,24785,3779,527,24627,37086,58033,67274,55355,242375
Springfield__OH,0,609,0,34771,36692,14908,5418,40,12225,490,36,0,1267,11316,23024,0,530,13890,35607,34811,36692,20326,141326
Bluefield__WV__VA,0,280,0,18846,25814,18784,4463,456,32947,2018,1241,33,9942,7620,44,0,21,36540,17606,19302,25814,23247,122509
Superior__AZ,0,0,0,333,1408,436,43,0,0,0,0,1237,0,0,0,141,0,1378,0,333,1408,479,3598
Visalia__CA,0,198,0,17963,29564,65252,11888,712,0,0,0,7,6464,2112,48298,11,0,216,56874,18675,29564,77140,182469
McFarland__CA,0,0,0,979,926,2175,262,232,0,0,0,0,468,1213,4800,0,0,0,6481,1211,926,2437,11055
Orange_Cove__CA,0,27,0,744,951,1387,187,131,0,0,0,0,207,0,719,0,0,27,926,875,951,1574,4353
Jefferson__IA,0,98,0,1987,2419,580,280,0,522,0,0,0,251,42,488,72,269,961,781,1987,2419,860,7008
New_Hampton__IA,0,0,0,791,2023,729,248,0,42,0,0,0,209,0,306,6,0,48,515,791,2023,977,4354
Welsh__LA,0,0,0,993,2939,371,158,0,3,9,12,8,1,451,435,306,0,338,887,993,2939,529,5686
Laconia__NH,0,2850,0,10457,6222,3832,1564,18,2290,2215,7902,589,81,769,441,1221,65,17132,1291,10475,6222,5396,40516
Hamilton__NY,0,17,0,1784,851,299,120,0,429,55,48,223,671,173,216,321,98,1191,1060,1784,851,419,5305
Geneseo__NY,0,14,0,2688,1488,939,327,13,1526,0,198,546,203,2931,742,30,5,2319,3876,2701,1488,1266,11650
Lodi__OH,0,17,0,724,1119,566,156,0,958,47,0,5,61,230,361,28,0,1055,652,724,1119,722,4272
Newport__TN,0,15,0,8601,5336,2270,855,76,6396,518,431,118,436,3068,14,153,0,7631,3518,8677,5336,3125,28287
Granbury__TX,0,8648,0,28476,13266,5510,2398,153,3703,4113,0,0,24093,1105,508,869,0,17333,25706,28629,13266,7908,92842
Falfurrias__TX,0,0,0,1842,2034,1070,243,35,33,0,0,210,200,165,34,19,0,262,399,1877,2034,1313,5885
St__Albans__VT,0,0,0,3433,3165,1988,934,0,1199,0,30,126,0,854,304,4,0,1359,1158,3433,3165,2922,12037
Wills_Point__TX,0,0,0,445,3752,828,426,0,351,0,0,230,0,1743,262,39,0,620,2005,445,3752,1254,8076
Racine__WI,0,719,0,19842,36084,34846,13604,759,8168,150,1016,298,4069,4775,14776,4402,222,14975,23620,20601,36084,48450,143730
Madison__WI,0,19605,0,69017,135259,70806,25137,364,25516,957,253,1386,882,27053,64773,6229,6994,60940,92708,69381,135259,95943,454231
Auburn__North_Auburn__CA,0,233,0,8223,12929,5939,2668,0,8498,21139,654,1488,15401,17,0,0,30,32042,15418,8223,12929,8607,77219
Danville__IL,0,2834,0,18520,32194,7167,4737,20,12365,0,0,0,1164,1115,7524,231,0,15430,9803,18540,32194,11904,87871
Augusta_Richmond_County__GA__SC,0,8108,0,166029,193681,71483,29032,5334,66408,86825,8368,21336,38729,19096,10600,27616,2016,220677,68425,171363,193681,100515,754661
Portsmouth__OH__KY,0,3624,0,10229,13153,10218,2877,164,12109,171,65,148,599,6743,1106,22,0,16139,8448,10393,13153,13095,61228
Many__LA,0,0,0,2620,1763,637,316,0,10,140,429,341,50,304,0,157,0,1077,354,2620,1763,953,6767
Pascagoula__MS,0,6638,0,29767,28925,12774,6252,3421,151,5554,247,1206,1032,424,0,12389,10795,36980,1456,33188,28925,19026,119575
Laurinburg__NC,0,488,0,12968,9916,3703,1003,8,858,5782,451,4321,1517,542,5497,6779,506,19185,7556,12976,9916,4706,54339
Akron__OH,0,21128,0,253427,232331,100376,39757,998,172590,4613,135,1685,20998,56603,33666,16483,819,217453,111267,254425,232331,140133,955609
East_Stroudsburg__PA__NJ,0,1594,0,41088,15611,7022,2823,206,61092,5319,4604,1374,322,3157,854,5922,189,80094,4333,41294,15611,9845,151177
Anniston__Oxford__AL,0,950,0,71700,41370,15815,6535,572,48554,16142,6623,3833,7929,24741,5214,976,15,77093,37884,72272,41370,22350,250969
Safford__AZ,0,0,0,4100,9950,3666,813,5,0,0,0,6576,0,0,12537,0,0,6576,12537,4105,9950,4479,37647
Yountville__CA,0,0,0,705,913,824,116,0,75,538,334,613,80,0,399,6,0,1566,479,705,913,940,4603
Macon__GA,0,2762,0,84458,47823,24484,10929,1086,45128,16357,11193,2622,11779,6411,2354,16167,951,95180,20544,85544,47823,35413,284504
Oregon__IL,0,82,0,1424,2325,942,352,0,316,0,0,0,22,102,303,49,0,447,427,1424,2325,1294,5917
Middletown__IN,0,0,0,994,1305,253,64,0,65,0,0,5,12,0,1294,7,0,77,1306,994,1305,317,3999
Church_Point__LA,0,15,0,1762,2821,270,142,0,3,0,0,35,30,1342,1222,31,0,84,2594,1762,2821,412,7673
Meridian__MS,0,1207,0,28511,16924,11724,7104,113,7645,4213,6264,4428,265,2526,232,2448,200,26405,3023,28624,16924,18828,93804
Washoe_Valley__NV,0,0,0,2861,1666,81,5,0,0,0,0,3311,862,0,0,0,0,3311,862,2861,1666,86,8786
Elmira__NY,0,1040,0,28987,24631,10273,3043,323,14979,525,2528,1280,2091,9095,6526,3697,1281,25330,17712,29310,24631,13316,110299
East_Prairie__MO,0,8,0,1023,2198,762,201,0,0,0,0,0,0,64,1510,0,0,8,1574,1023,2198,963,5766
Tipton__MO,0,26,0,536,1414,651,168,0,138,0,2,6,0,562,178,16,0,188,740,536,1414,819,3697
Lincolnton__NC,0,61,0,11877,22975,4142,1376,15,22767,2990,500,757,2988,13900,431,509,0,27584,17319,11892,22975,5518,85288
Eugene__OR,0,4454,0,20941,72590,61900,28135,2019,782,10662,2516,1815,2817,22388,10462,7428,1829,29486,35667,22960,72590,90035,250738
Watonga__OK,0,0,0,954,2168,968,479,0,0,0,0,0,306,4,1037,0,0,0,1347,954,2168,1447,5916
Butler__PA,0,331,0,24099,17021,7333,4530,142,31263,200,169,3,859,5687,3352,51,9,32026,9898,24241,17021,11863,95049
Rapid_City__SD,0,135,0,26558,26880,27473,8329,34,199,14042,0,4553,11524,72,1042,694,206,19829,12638,26592,26880,35802,121741
Mescalero_Park__TX,0,0,0,1322,1512,339,156,20,0,0,0,0,6420,0,2581,0,0,0,9001,1342,1512,495,12350
Fredericksburg__VA,0,975,0,56222,44328,19569,7530,1025,52912,3725,3112,7743,1816,8374,8314,9974,331,78772,18504,57247,44328,27099,225950
Wisconsin_Rapids__WI,0,1744,0,12517,18866,5623,2940,24,5085,5434,1351,46,2187,407,4558,1968,378,16006,7152,12541,18866,8563,63128
Wrightsville__GA,0,52,0,1502,947,435,129,8,1543,2864,705,828,1333,804,354,1486,222,7700,2491,1510,947,564,13212
Bullhead_City__AZ__NV,0,793,0,7821,21471,17408,4210,4808,11,0,46,26879,7,33,60,284,274,28287,100,12629,21471,21618,84105
Yuma__AZ__CA,0,261,0,23503,39579,38750,10588,186,13,0,0,25917,174,4193,26356,375,33,26599,30723,23689,39579,49338,169928
Fairfield__CA,0,293,0,14275,17047,37668,11421,258,74,14,224,472,27972,883,2773,90,475,1642,31628,14533,17047,49089,113939
Dubuque__IA__IL,0,882,0,26270,25524,12703,5301,6,15221,269,0,194,1961,4795,4065,659,163,17388,10821,26276,25524,18004,98013
Alexandria__LA,0,1375,0,42589,64645,16646,9364,407,1955,19632,3671,9257,2428,3839,5209,7791,500,44181,11476,42996,64645,26010,189308
Detroit__MI,0,98651,0,783362,1009453,1012657,427153,19698,266677,6717,9642,3893,23450,51406,47470,165662,23801,575043,122326,803060,1009453,1439810,3949692
Kalamazoo__MI,0,16467,0,84079,90302,39346,19293,3089,56105,2811,3442,431,4531,18823,32260,22780,1220,103256,55614,87168,90302,58639,394979
Utica__NY,0,3175,0,30770,33111,15759,5781,0,34615,1878,5593,15197,8710,9315,9404,6802,1085,68345,27429,30770,33111,21540,181195
Reading__PA,0,3193,0,79337,62212,36029,19805,115,47072,910,1069,6326,509,25771,16777,2605,159,61334,43057,79452,62212,55834,301889
Willcox__AZ,0,0,0,757,1839,814,217,27,0,0,0,1062,184,0,0,0,0,1062,184,784,1839,1031,4900
Thousand_Oaks__CA,0,543,0,49204,64867,40770,2808,226,0,160,874,66557,16733,1847,2512,166,115,68415,21092,49430,64867,43578,247382
Middletown__DE,0,557,0,16514,8199,4284,780,12,1322,6,107,244,26,2285,11536,3013,1981,7230,13847,16526,8199,5064,50866
Elmwood__IL,0,11,0,909,1858,616,68,0,131,0,0,0,0,241,1294,0,0,142,1535,909,1858,684,5128
West_Liberty__IA,0,0,0,730,1434,560,210,0,0,0,0,0,24,150,416,0,0,0,590,730,1434,770,3524
Sandusky__MI,0,0,0,1776,1434,800,412,0,117,5,0,0,0,28,233,261,0,383,261,1776,1434,1212,5066
El_Dorado_Springs__MO,0,0,0,1912,1780,502,255,0,550,0,0,5,10,468,0,31,0,586,478,1912,1780,757,5513
